id,likes,replies,retweets,text,url,user,rating,rating_norm
858957592046993400,63650,5548,123443,What senseless waste. Why kill such a gentle creature? For 'sport'?!? RT if u want global ban on all trophy hunting pic.twitter.com/uEYQdPoMsq,/eduardo_LACS/status/858957592046993408,eduardo_LACS,64213.666666699995,0.9999999999999999
851244422687858700,81040,1977,17088,"Congrats @TheSergioGarcia 
Incredible battle out there. Sport in the moment can be tough. But it's just sport. Hope you guys enjoyed it. pic.twitter.com/er7OzrdTgA",/JustinRose99/status/851244422687858688,JustinRose99,33368.3333333,0.5196453506774157
867738074251489300,13967,130,7749,"52 years ago today, one of the most iconic photos in sport: Ali vs Liston II, captured by the brilliant Neil Leifer pic.twitter.com/bLAAj8hybG",/MeredithFrost/status/867738074251489281,MeredithFrost,7282,0.11340265052604928
822495866485407700,11831,39,4266,u god dam right trump is president u god dam right nascar is the greatest sport u god dam right my cousin is fine as hell u god dam right,/BillRatchet/status/822495866485407746,BillRatchet,5378.66666667,0.0837620236605999
838868511808172000,8816,22,5609,Soccer can change lives. So thankful for the beautiful sport. https://twitter.com/mikesanz19/status/838803982411759619/video/1 …,/FOOTBALRLIFE/status/838868511808172034,FOOTBALRLIFE,4815.66666667,0.07499441967183777
833100799899205600,3703,2929,5651,"Sport Gloves | Maze Giveaway

* RT & Follow
* Notifications ON + Proof
* GO: http://bit.ly/2kUHx7q 

Winner in 24 Hours!pic.twitter.com/9ow07To4ue",/skinhub/status/833100799899205632,skinhub,4094.33333333,0.0637610892799748
851528187855163400,7298,5,3645,"A sport chapter ends some day but there's a whole new world outside of figure skating.

Mao, wishing you best for a wonderful journey ahead. pic.twitter.com/8XanqilsLe",/Tenis_Den/status/851528187855163392,Tenis_Den,3649.33333333,0.05683110033681468
887042123123576800,3232,650,6068,Real men don't kill harmless & defenceless animals for 'sport'. RT if you agree #stoptrophyhuntingpic.twitter.com/tI1zqfgt9D,/eduardo_LACS/status/887042123123576832,eduardo_LACS,3316.66666667,0.051650479389147866
853334765709271000,2283,2317,4871,"Sport Gloves | Pandora's Box LAUNCH Giveaway

» RT + Follow 
» Additional Entries : https://goo.gl/eBnka9  
» Tag 2 Friendspic.twitter.com/ewfJt3WfAL",/EmeraldsGG/status/853334765709271040,EmeraldsGG,3157,0.04916398897428421
851484642607870000,5130,2,3219,"Mao-chan, thank you for your brilliance, your strength and your majesty in our sport. You've… https://www.instagram.com/p/BStoPy7A4Fo/",/JohnnyGWeir/status/851484642607869953,JohnnyGWeir,2783.66666667,0.04335006566621677
895028422703018000,5395,173,1196,How high was the person that came up with this sport? pic.twitter.com/MZWNPbaq05,/BarstoolBigCat/status/895028422703017985,BarstoolBigCat,2254.66666667,0.035111943978729805
873275779320348700,3866,27,865,"I watch volleyball for the sport"" pic.twitter.com/pTGdch5d0W",/CauseWereGuys/status/873275779320348672,CauseWereGuys,1586,0.024698792053599858
833414662150459400,1103,167,241,Let's fight childhood obesity by making weekend sport registrations tax deductible. Can't believe how expensive it is for parents. Thoughts?,/kochie_online/status/833414662150459392,kochie_online,503.66666666699996,0.007843605463012627
818917859954925600,684,9,282,Meet Malaysia's new pink ladies: Two species of katydid whose females sport distinctly rosy hues http://on.natgeo.com/2iCc091,/NatGeo/status/818917859954925568,NatGeo,325,0.005061227879836036
886011943986880500,609,24,130,"Pre-order GT Sport Digital Deluxe Edition at PS Store and get this sweet T-shirt (while supplies last, US only): http://play.st/2tbOZDc pic.twitter.com/lLlQYCjjiQ",/PlayStation/status/886011943986880514,PlayStation,254.33333333299998,0.003960735253651112
856999415550283800,409,20,95,Hard to sum up 18 years of the sport's most popular driver. I hope this is worth your time https://twitter.com/nascaronfox/status/856997584187129858 …,/CopaCavanna/status/856999415550283777,CopaCavanna,174.66666666700002,0.002720085547732456
900475941146607600,259,1,151,ARMYs do NOT tweet in #/YNWA it's a sport team thing. Remember we spread in February to use YouNeverWalkAlone instead of YNWA,/spreadwings15/status/900475941146607616,spreadwings15,137,0.0021335022139616524
847848442600796200,271,7,73,"Two new Renault Sport Academy recruits! Welcome Christian & Marta 

http://rsport.me/ff97bb pic.twitter.com/TZ20O26DJR",/RenaultSportF1/status/847848442600796160,RenaultSportF1,117,0.0018220420367409732
847946621849612300,222,1,116,Being able to suite up and play my sport is such a blessing,/AthCenter/status/847946621849612288,AthCenter,113,0.0017597500012968372
824399182815514600,136,22,86,"FRACASO REAL
#PortadaSPORThttp://bit.ly/2kuF2Mn",/sport/status/824399182815514626,sport,81.3333333333,0.0012666047206969097
849463265927278600,126,2,97,"Sport has the power to change the world"" @NelsonMandela #IDSDP #IDSDP2017 #WePlayTogether #sport4betterworld #whitecardpic.twitter.com/T8vyhiSQLU",/IDSDP/status/849463265927278593,IDSDP,75,0.0011679756645775468
905875750343061500,129,16,79,Chelsea News: Marina Granovskaia wants Antoine Griezmann to make up for transfer failings #CFChttp://www.express.co.uk/sport/football/851347/Chelsea-News-Marina-Granovskaia-Antoine-Griezmann-Atletico-Madrid-Diego-Costa-transfers …,/DExpress_Sport/status/905875750343061504,DExpress_Sport,74.6666666667,0.001162784661624388
862179209581477900,111,7,84,[dare] summarise your favourite sports anime without directly mentioning the sport pic.twitter.com/xZxYImzY4O,/kiyala/status/862179209581477889,kiyala,67.3333333333,0.0010485825966424342
876952421649535000,85,49,35,Is there any precedent for a team firing its GM and coach during a run of three consecutive championship-round appearances? In any sport? https://twitter.com/mcten/status/876952082124820485 …,/AlbertBreer/status/876952421649534978,AlbertBreer,56.3333333333,0.0008772794991710605
895070894049042400,126,0,38,#FREEBOMBS FOR ALL! Freddie goes yard to give the @Braves an early 1-0 lead. Watch on FOX Sports Southeast & FOX Sports GO! #ChopOnpic.twitter.com/eSbdJFrBqY,/FOXSportsBraves/status/895070894049042436,FOXSportsBraves,54.6666666667,0.0008513244844037089
875084228131684400,138,2,13,golf is not a sport - it's a game for people who want to think they can still play sports,/GabrielSPerna/status/875084228131684356,GabrielSPerna,51,0.0007942234519127319
961026498495897600,108,7,27,Snow volleyball might be coming to the Winter Olympics — which would make it the first sport in both the Summer and Winter games pic.twitter.com/M1jsGBBMA3,/nowthisnews/status/961026498495897600,nowthisnews,47.3333333333,0.0007371224194217549
876679437512839200,87,11,41,"The gender prize money gap in sport is closing with more sports than ever achieving parity at the top level.

More  http://bbc.in/2rLWH1v pic.twitter.com/XN6kmQ8a4S",/BBCSport/status/876679437512839169,BBCSport,46.3333333333,0.0007215494105607209
869339819310272500,101,2,10,BK...your opinion is part of making the sport what it is.  Be as vocal as you like...we appreciate it.,/bradleymenglin/status/869339819310272512,bradleymenglin,37.6666666667,0.0005865833337661316
857011681662206000,71,4,27,"Very frustrated that the 'solution' to economic inequality is ""hunt rich Democrats for sport"" instead of ""how do we change the system?",/ApocalypticaNow/status/857011681662205952,ApocalypticaNow,34,0.0005294823012751545
938558296683823100,82,6,9,It's hard to find a stronger supporter of sport than @JaycoAust Chair Gerry Ryan OAM. And he has just extended his company major partnership of @HeraldSunTour for another 3 years. #JaycoHeraldSunTour2018,/HeraldSunTour/status/938558296683823105,HeraldSunTour,32.3333333333,0.0005035272865062455
895071913503998000,64,0,19,"Nadal on still being at the top: ""The mental aspect isn't difficult if you love the sport.""
Read: http://www.tennis.com/pro-game/2017/08/verge-returning-no-1-rafael-nadal-taking-it-match-match/68405/ …pic.twitter.com/88MO4Qfy6q",/Tennis/status/895071913503997958,Tennis,27.6666666667,0.0004308532451557919
853397507866546200,54,2,22,Baseball> every other sport,/yourbabygirlnic/status/853397507866546177,yourbabygirlnic,26,0.0004048982303868829
824406276008509400,56,3,18,"If he from Maryland he's more than likely intelligent, cute, but he sucks whatever sport he plays, dick STAY ashy, and he's spoiled",/JayKenMinaj/status/824406276008509440,JayKenMinaj,25.6666666667,0.000399707227433724
